date,open,high,low,close,volume
2021-01-05 03:45:00,618.0,623.8,618.0,623.6,635558
2021-01-05 03:50:00,623.55,624.5,621.75,623.85,260873
2021-01-05 03:55:00,624.1,632.9,623.9,631.7,982596
2021-01-05 04:00:00,631.75,636.4,631.3,634.55,1369223
2021-01-05 04:05:00,634.75,642.6,633.9,641.5,1777693
2021-01-05 04:10:00,641.5,641.5,638.1,638.8,890813
2021-01-05 04:15:00,639.0,639.95,638.15,639.35,511246
2021-01-05 04:20:00,639.05,639.7,638.05,638.7,359043
2021-01-05 04:25:00,638.65,638.8,637.6,638.2,424245
2021-01-05 04:30:00,638.05,638.7,636.45,636.55,473276
2021-01-05 04:35:00,636.6,638.2,636.4,636.75,269195
2021-01-05 04:40:00,636.65,637.8,636.65,637.1,218675
2021-01-05 04:45:00,637.25,637.25,635.75,636.05,285172
2021-01-05 04:50:00,635.95,638.0,635.8,636.8,356469
2021-01-05 04:55:00,636.9,638.4,636.5,638.1,206054
2021-01-05 05:00:00,638.15,640.5,638.0,639.7,506895
2021-01-05 05:05:00,639.9,640.4,639.0,640.0,233080
2021-01-05 05:10:00,640.0,640.95,639.3,640.9,276662
2021-01-05 05:15:00,640.95,644.0,640.75,643.5,1024066
2021-01-05 05:20:00,643.35,644.85,642.8,644.35,524964
2021-01-05 05:25:00,644.35,644.5,642.8,643.2,319232
2021-01-05 05:30:00,643.4,644.0,643.25,643.5,187802
2021-01-05 05:35:00,643.8,646.9,643.5,646.65,776819
2021-01-05 05:40:00,646.7,648.0,646.25,647.3,718577
2021-01-05 05:45:00,647.3,647.4,645.8,646.0,402274
2021-01-05 05:50:00,646.25,647.3,645.05,646.7,300202
2021-01-05 05:55:00,646.7,647.4,646.1,647.2,205007
2021-01-05 06:00:00,647.2,648.8,647.1,647.1,534894
2021-01-05 06:05:00,647.1,647.45,646.0,646.45,242844
2021-01-05 06:10:00,646.45,648.2,646.3,647.8,243960
2021-01-05 06:15:00,648.05,648.05,647.2,647.35,138307
2021-01-05 06:20:00,647.35,648.0,646.75,647.65,213504
2021-01-05 06:25:00,647.6,648.0,646.65,647.9,219640
2021-01-05 06:30:00,647.95,649.5,647.9,649.0,439825
2021-01-05 06:35:00,649.0,649.7,648.1,649.6,222062
2021-01-05 06:40:00,649.6,649.8,649.15,649.55,221455
2021-01-05 06:45:00,649.7,651.6,649.5,650.6,771007
