date,open,high,low,close,volume
2021-01-05 03:45:00,70.0,70.25,69.25,70.15,1514727
2021-01-05 03:50:00,70.15,70.15,69.65,69.7,769168
2021-01-05 03:55:00,69.7,69.95,69.6,69.9,489853
2021-01-05 04:00:00,69.85,70.05,69.85,69.95,634138
2021-01-05 04:05:00,69.95,70.1,69.7,69.75,742620
2021-01-05 04:10:00,69.75,69.8,69.7,69.75,245385
2021-01-05 04:15:00,69.75,69.9,69.75,69.9,230812
2021-01-05 04:20:00,69.85,69.9,69.8,69.85,221199
2021-01-05 04:25:00,69.9,69.9,69.7,69.7,488807
2021-01-05 04:30:00,69.75,69.75,69.5,69.6,389822
2021-01-05 04:35:00,69.55,69.75,69.5,69.6,341677
2021-01-05 04:40:00,69.6,69.6,69.4,69.5,667944
2021-01-05 04:45:00,69.5,69.55,69.25,69.35,344412
2021-01-05 04:50:00,69.35,69.6,69.3,69.55,233091
2021-01-05 04:55:00,69.5,69.6,69.5,69.5,160552
2021-01-05 05:00:00,69.5,69.65,69.5,69.5,239368
2021-01-05 05:05:00,69.55,69.55,69.45,69.5,200412
2021-01-05 05:10:00,69.5,69.6,69.4,69.55,194876
2021-01-05 05:15:00,69.55,69.9,69.55,69.9,494113
2021-01-05 05:20:00,69.85,70.05,69.8,70.0,756479
2021-01-05 05:25:00,70.0,70.1,69.85,69.85,521713
2021-01-05 05:30:00,69.85,70.0,69.85,69.95,221604
2021-01-05 05:35:00,70.05,70.35,70.0,70.3,568421
2021-01-05 05:40:00,70.3,70.45,70.3,70.35,369733
2021-01-05 05:45:00,70.35,70.4,70.2,70.35,353786
2021-01-05 05:50:00,70.4,70.5,70.35,70.45,378077
2021-01-05 05:55:00,70.45,70.7,70.4,70.65,514470
2021-01-05 06:00:00,70.65,70.85,70.65,70.7,722275
2021-01-05 06:05:00,70.7,71.35,70.7,71.25,1376799
2021-01-05 06:10:00,71.2,71.25,70.95,71.15,935739
2021-01-05 06:15:00,71.15,71.2,70.95,70.95,518952
2021-01-05 06:20:00,70.95,71.15,70.95,71.05,469047
2021-01-05 06:25:00,71.05,71.1,70.9,71.05,395395
2021-01-05 06:30:00,71.05,71.2,71.05,71.15,295554
2021-01-05 06:35:00,71.2,71.2,71.1,71.1,242769
2021-01-05 06:40:00,71.1,71.15,71.05,71.15,193788
2021-01-05 06:45:00,71.05,71.3,71.05,71.25,579036
2021-01-05 06:50:00,71.3,71.3,71.1,71.2,240605
2021-01-05 06:55:00,71.15,71.25,71.05,71.2,246895
2021-01-05 07:00:00,71.2,71.25,71.1,71.25,236792
2021-01-05 07:05:00,71.2,71.3,71.2,71.25,222988
2021-01-05 07:10:00,71.25,71.4,71.25,71.4,484917
2021-01-05 07:15:00,71.4,71.45,71.3,71.4,616761
2021-01-05 07:20:00,71.4,71.9,71.4,71.75,1197824
2021-01-05 07:25:00,71.75,71.95,71.75,71.85,706229
2021-01-05 07:30:00,71.85,71.85,71.55,71.8,1052818
2021-01-05 07:35:00,71.8,71.95,71.8,71.9,804191
