date,open,high,low,close,volume
2021-01-05 03:45:00,526.65,526.65,523.0,524.6,895543
2021-01-05 03:50:00,524.6,524.65,523.4,524.35,447023
2021-01-05 03:55:00,524.3,527.4,524.1,526.75,717521
2021-01-05 04:00:00,527.0,528.0,526.6,526.9,478715
2021-01-05 04:05:00,526.95,527.3,526.05,526.15,338880
2021-01-05 04:10:00,526.2,526.2,524.9,525.3,300915
2021-01-05 04:15:00,525.3,525.5,525.0,525.35,242681
2021-01-05 04:20:00,525.35,525.5,524.55,525.05,222520
2021-01-05 04:25:00,525.05,525.05,524.3,524.4,153684
2021-01-05 04:30:00,524.65,524.65,524.05,524.3,210540
2021-01-05 04:35:00,524.15,525.05,524.15,524.7,162344
2021-01-05 04:40:00,524.75,525.05,524.4,524.95,119054
2021-01-05 04:45:00,524.8,524.95,523.75,524.4,186458
2021-01-05 04:50:00,524.35,525.15,524.3,525.05,197721
2021-01-05 04:55:00,525.15,525.6,524.95,525.5,111411
2021-01-05 05:00:00,525.5,526.25,525.1,525.2,262283
2021-01-05 05:05:00,525.1,525.2,524.65,525.0,104102
2021-01-05 05:10:00,525.0,525.0,524.5,524.85,109537
2021-01-05 05:15:00,524.8,525.35,524.4,525.25,155357
2021-01-05 05:20:00,525.2,525.3,524.75,525.25,132593
2021-01-05 05:25:00,525.1,525.35,524.55,525.0,143482
2021-01-05 05:30:00,525.0,525.15,524.5,524.65,191505
2021-01-05 05:35:00,524.8,525.65,524.6,525.15,317145
2021-01-05 05:40:00,525.15,525.7,524.9,525.45,447394
2021-01-05 05:45:00,525.3,526.5,525.3,526.3,242093
2021-01-05 05:50:00,526.35,527.8,526.25,527.4,358561
2021-01-05 05:55:00,527.7,527.8,526.45,526.7,217000
2021-01-05 06:00:00,526.65,528.4,526.65,526.7,488304
2021-01-05 06:05:00,526.65,527.25,526.2,526.55,241199
2021-01-05 06:10:00,526.65,527.25,526.55,527.0,1221121
2021-01-05 06:15:00,527.0,527.2,526.3,526.3,208536
2021-01-05 06:20:00,526.35,526.55,526.05,526.2,85798
2021-01-05 06:25:00,526.2,526.4,525.6,526.2,176803
2021-01-05 06:30:00,526.2,527.3,526.2,527.3,154052
2021-01-05 06:35:00,527.3,528.2,527.0,527.6,201706
2021-01-05 06:40:00,527.6,527.7,527.3,527.6,78875
2021-01-05 06:45:00,527.6,528.2,527.55,527.8,263467
2021-01-05 06:50:00,527.95,528.25,527.5,528.05,150843
2021-01-05 06:55:00,528.1,528.1,527.5,527.75,140221
2021-01-05 07:00:00,527.75,529.2,527.55,528.65,391557
2021-01-05 07:05:00,528.65,528.95,528.65,528.85,77887
2021-01-05 07:10:00,528.85,529.45,528.85,528.85,170148
2021-01-05 07:15:00,528.85,529.5,528.75,529.4,272000
2021-01-05 07:20:00,529.4,529.5,528.65,528.75,157885
2021-01-05 07:25:00,528.55,530.35,528.55,530.2,225975
2021-01-05 07:30:00,530.2,530.95,529.4,529.45,315826
2021-01-05 07:35:00,529.35,529.45,528.85,529.0,152623
2021-01-05 07:40:00,528.95,529.25,528.05,528.5,246323
2021-01-05 07:45:00,528.5,528.5,527.8,528.4,180592
2021-01-05 07:50:00,528.35,528.5,527.4,527.55,181735
2021-01-05 07:55:00,527.55,528.95,527.4,528.95,140674
2021-01-05 08:00:00,528.95,530.6,528.9,530.3,390824
2021-01-05 08:05:00,530.3,532.4,530.2,532.25,395722
2021-01-05 08:10:00,532.2,532.35,531.35,531.6,219428
2021-01-05 08:15:00,531.75,532.9,531.5,532.6,368108
2021-01-05 08:20:00,532.65,533.25,531.8,531.8,369249
2021-01-05 08:25:00,531.75,532.85,531.75,532.75,122379
2021-01-05 08:30:00,532.75,534.8,532.75,534.25,455962
2021-01-05 08:35:00,534.3,534.9,533.6,534.55,273886
2021-01-05 08:40:00,534.4,535.6,534.15,535.1,469606
2021-01-05 08:45:00,535.2,535.25,533.4,533.6,383236
2021-01-05 08:50:00,533.6,536.0,533.2,536.0,367595
2021-01-05 08:55:00,535.95,538.45,535.9,538.4,857517
2021-01-05 09:00:00,538.55,539.95,538.05,539.0,860295
2021-01-05 09:05:00,539.0,539.0,537.8,538.1,370039
2021-01-05 09:10:00,538.05,538.2,536.35,537.3,370182
2021-01-05 09:15:00,537.3,538.2,537.3,537.4,218726
2021-01-05 09:20:00,537.5,537.8,536.75,537.5,292487
2021-01-05 09:25:00,537.45,537.45,536.5,537.15,200628
2021-01-05 09:30:00,537.3,537.8,537.05,537.15,396677
2021-01-05 09:35:00,537.35,537.4,536.5,536.6,355527
2021-01-05 09:40:00,536.5,537.7,536.5,537.1,601666
2021-01-05 09:45:00,537.05,537.8,536.6,537.7,503207
2021-01-05 09:50:00,537.7,537.9,537.05,537.2,700786
2021-01-05 09:55:00,537.05,537.3,536.0,536.65,326816
2021-01-06 03:45:00,538.75,543.25,535.85,542.65,1637713
2021-01-06 03:50:00,542.8,545.5,542.35,544.5,1416342
2021-01-06 03:55:00,544.7,544.7,543.25,544.0,571362
2021-01-06 04:00:00,544.0,544.25,542.5,543.55,419284
2021-01-06 04:05:00,543.4,543.75,542.8,543.3,233748
2021-01-06 04:10:00,543.3,544.8,542.85,544.7,275638
2021-01-06 04:15:00,544.8,545.95,544.2,545.6,435630
2021-01-06 04:20:00,545.75,546.5,545.05,545.2,408506
2021-01-06 04:25:00,545.1,545.2,544.1,544.1,284194
2021-01-06 04:30:00,544.1,544.55,543.3,543.7,245321
2021-01-06 04:35:00,543.6,543.6,541.2,541.9,660053
2021-01-06 04:40:00,541.9,542.3,540.75,542.3,367682
2021-01-06 04:45:00,542.25,542.7,541.4,541.85,298019
