date,open,high,low,close,volume
2021-01-05 03:45:00,278.05,279.75,277.4,278.8,1408571
2021-01-05 03:50:00,278.8,279.0,277.75,278.4,855794
2021-01-05 03:55:00,278.4,278.65,278.05,278.65,559869
2021-01-05 04:00:00,278.7,279.2,278.5,278.8,484918
2021-01-05 04:05:00,278.85,279.05,278.15,278.25,476560
2021-01-05 04:10:00,278.3,278.35,278.0,278.2,343189
2021-01-05 04:15:00,278.2,278.85,278.15,278.6,254380
2021-01-05 04:20:00,278.6,278.7,278.1,278.5,203285
2021-01-05 04:25:00,278.5,278.55,277.95,278.05,432787
2021-01-05 04:30:00,278.1,278.35,277.5,277.5,533789
2021-01-05 04:35:00,277.6,278.4,277.25,277.9,641712
2021-01-05 04:40:00,277.85,278.25,277.7,278.2,246619
2021-01-05 04:45:00,278.15,278.25,277.8,277.8,246570
2021-01-05 04:50:00,277.8,278.5,277.75,278.3,304286
2021-01-05 04:55:00,278.3,278.6,278.2,278.2,231141
2021-01-05 05:00:00,278.2,278.25,277.6,277.75,300254
2021-01-05 05:05:00,277.85,277.95,277.55,277.6,275622
2021-01-05 05:10:00,277.6,277.9,277.0,277.8,494569
2021-01-05 05:15:00,277.85,278.5,277.75,278.4,274479
2021-01-05 05:20:00,278.4,278.4,278.1,278.25,262852
2021-01-05 05:25:00,278.2,278.7,278.2,278.5,338734
2021-01-05 05:30:00,278.5,278.65,278.25,278.45,217131
2021-01-05 05:35:00,278.6,279.4,278.45,279.1,689623
2021-01-05 05:40:00,279.1,279.4,279.0,279.1,412730
2021-01-05 05:45:00,279.05,279.25,278.9,279.1,277902
2021-01-05 05:50:00,279.1,279.95,279.1,279.7,478465
2021-01-05 05:55:00,279.75,279.8,279.25,279.5,343266
2021-01-05 06:00:00,279.45,279.95,279.25,279.4,458575
2021-01-05 06:05:00,279.35,279.5,279.05,279.15,191728
2021-01-05 06:10:00,279.1,279.8,279.05,279.65,237669
2021-01-05 06:15:00,279.6,279.75,279.2,279.3,170967
2021-01-05 06:20:00,279.35,279.5,279.2,279.35,105387
2021-01-05 06:25:00,279.35,279.5,279.05,279.45,200364
2021-01-05 06:30:00,279.45,279.75,279.35,279.7,199880
2021-01-05 06:35:00,279.7,279.85,279.25,279.6,455280
2021-01-05 06:40:00,279.6,279.75,279.55,279.75,157159
2021-01-05 06:45:00,279.75,280.4,279.7,280.0,693531
2021-01-05 06:50:00,280.0,280.1,279.85,279.95,251463
2021-01-05 06:55:00,279.9,280.0,279.35,279.45,260128
2021-01-05 07:00:00,279.5,280.05,279.25,279.85,307961
2021-01-05 07:05:00,279.85,280.25,279.75,280.15,206357
2021-01-05 07:10:00,280.15,280.2,280.0,280.1,231185
2021-01-05 07:15:00,280.05,280.2,279.8,280.0,172586
2021-01-05 07:20:00,280.0,280.15,279.85,280.05,128218
2021-01-05 07:25:00,280.05,280.25,280.05,280.1,157580
2021-01-05 07:30:00,280.1,280.1,279.25,279.4,202458
2021-01-05 07:35:00,279.35,279.75,279.35,279.4,139915
2021-01-05 07:40:00,279.45,279.5,279.05,279.15,275533
2021-01-05 07:45:00,279.15,279.25,278.8,278.95,317068
2021-01-05 07:50:00,278.95,278.95,278.3,278.6,389314
2021-01-05 07:55:00,278.55,279.15,278.4,279.15,188665
2021-01-05 08:00:00,279.2,279.6,279.1,279.6,229464
2021-01-05 08:05:00,279.6,280.05,279.5,280.0,294344
2021-01-05 08:10:00,279.95,280.3,279.9,280.2,337279
2021-01-05 08:15:00,280.15,280.3,279.75,279.75,269329
2021-01-05 08:20:00,279.85,279.85,279.45,279.75,188128
2021-01-05 08:25:00,279.75,280.25,279.7,280.25,265520
2021-01-05 08:30:00,280.3,280.5,280.15,280.15,374772
2021-01-05 08:35:00,280.2,280.4,279.75,280.3,228349
2021-01-05 08:40:00,280.35,281.15,280.1,280.95,636094
2021-01-05 08:45:00,281.0,281.0,280.5,280.7,315626
2021-01-05 08:50:00,280.7,281.9,280.4,281.7,782629
2021-01-05 08:55:00,281.8,282.25,281.25,281.6,689370
2021-01-05 09:00:00,281.6,282.2,281.5,282.2,396240
2021-01-05 09:05:00,282.15,282.2,281.45,281.85,418584
2021-01-05 09:10:00,281.85,282.15,281.5,281.95,300195
2021-01-05 09:15:00,281.9,282.45,281.8,281.9,571005
2021-01-05 09:20:00,281.95,282.15,281.9,281.9,266469
2021-01-05 09:25:00,281.9,281.95,281.5,281.8,311937
2021-01-05 09:30:00,281.8,282.0,281.65,282.0,321795
2021-01-05 09:35:00,282.0,282.0,281.7,281.7,326879
2021-01-05 09:40:00,281.7,282.0,281.65,281.75,583414
2021-01-05 09:45:00,281.7,281.9,281.25,281.8,644109
2021-01-05 09:50:00,281.75,282.2,281.55,281.6,581136
2021-01-05 09:55:00,281.6,281.9,281.4,281.4,306555
2021-01-06 03:45:00,283.0,283.5,282.05,283.5,1208760
2021-01-06 03:50:00,283.55,284.0,283.4,283.65,850198
2021-01-06 03:55:00,283.65,285.85,283.5,285.65,1718656
2021-01-06 04:00:00,285.6,286.5,284.9,286.0,2275410
2021-01-06 04:05:00,286.0,287.4,285.7,287.1,1723581
2021-01-06 04:10:00,287.0,287.35,286.6,287.3,1141283
2021-01-06 04:15:00,287.35,289.15,287.3,288.5,2157016
2021-01-06 04:20:00,288.5,288.8,287.75,288.0,1029530
2021-01-06 04:25:00,288.0,288.0,287.4,287.5,662255
2021-01-06 04:30:00,287.5,287.85,287.45,287.6,446681
2021-01-06 04:35:00,287.6,287.6,286.9,287.2,867614
2021-01-06 04:40:00,287.15,287.45,286.55,287.35,573603
2021-01-06 04:45:00,287.4,288.0,287.3,287.55,501975
2021-01-06 04:50:00,287.55,287.85,287.25,287.85,232480
2021-01-06 04:55:00,287.8,287.85,287.3,287.45,224250
2021-01-06 05:00:00,287.45,287.6,286.7,286.75,387938
2021-01-06 05:05:00,286.85,287.2,286.5,287.1,438910
2021-01-06 05:10:00,287.2,287.45,287.1,287.4,189457
2021-01-06 05:15:00,287.35,287.5,287.1,287.1,206801
2021-01-06 05:20:00,287.2,287.8,287.05,287.75,270037
2021-01-06 05:25:00,287.75,287.75,287.3,287.35,151590
2021-01-06 05:30:00,287.35,287.35,287.1,287.2,113657
2021-01-06 05:35:00,287.25,287.35,286.85,286.95,293963
2021-01-06 05:40:00,286.95,287.25,286.75,287.15,234389
2021-01-06 05:45:00,287.2,287.35,286.85,287.0,131977
2021-01-06 05:50:00,287.0,287.2,286.6,286.75,331459
2021-01-06 05:55:00,286.7,286.8,286.1,286.6,595062
2021-01-06 06:00:00,286.6,286.95,286.45,286.55,173470
2021-01-06 06:05:00,286.6,286.6,286.2,286.35,328106
2021-01-06 06:10:00,286.35,286.55,286.1,286.4,193905
2021-01-06 06:15:00,286.5,286.55,286.15,286.45,182939
2021-01-06 06:20:00,286.45,286.55,285.75,286.1,526055
2021-01-06 06:25:00,286.05,286.55,285.85,286.45,208366
2021-01-06 06:30:00,286.5,286.75,286.4,286.5,244929
2021-01-06 06:35:00,286.6,286.95,286.5,286.9,237150
2021-01-06 06:40:00,286.95,287.1,286.75,286.95,292879
2021-01-06 06:45:00,286.95,287.5,286.7,287.25,290929
2021-01-06 06:50:00,287.25,287.45,287.05,287.3,228603
